model,season,games,accuracy,confidence_points,brier_score,log_loss
ELO,2021,271,62.36,66.93,0.22755,0.64834
ELO + Recent form,2021,271,61.62,66.47,0.23058,0.65599
ELO + Recent form + Rest,2021,271,61.62,66.38,0.23055,0.65585
ELO + Rest,2021,271,61.99,66.79,0.2275,0.6482
Market,2021,271,62.36,71.09,0.21756,0.62345
Market + ELO,2021,271,62.73,71.0,0.21727,0.62309
Market + ELO + Recent form,2021,271,62.36,70.68,0.21796,0.62488
Market + ELO + Recent form + Rest,2021,271,61.99,70.54,0.21788,0.62489
Market + ELO + Rest,2021,271,62.73,70.91,0.21722,0.6232
Market + Recent form,2021,271,62.73,70.77,0.21833,0.62539
Market + Recent form + Rest,2021,271,62.73,70.63,0.21821,0.62536
Market + Rest,2021,271,62.36,70.95,0.21748,0.62353
Market baseline,2021,271,62.36,70.63,0.21689,0.62156
Recent form,2021,271,58.67,61.71,0.24417,0.68388
Recent form + Rest,2021,271,58.67,61.85,0.24416,0.68384
Rest,2021,271,51.66,54.03,0.25041,0.69397
ELO,2022,269,63.2,64.87,0.23577,0.66549
ELO + Recent form,2022,269,63.94,64.45,0.23478,0.66233
ELO + Recent form + Rest,2022,269,63.94,64.04,0.23471,0.66223
ELO + Rest,2022,269,63.2,64.78,0.23567,0.66531
Market,2022,269,67.29,72.16,0.21157,0.61123
Market + ELO,2022,269,66.91,72.2,0.21238,0.61293
Market + ELO + Recent form,2022,269,66.91,72.3,0.21181,0.61174
Market + ELO + Recent form + Rest,2022,269,66.17,72.34,0.2117,0.61155
Market + ELO + Rest,2022,269,66.91,72.2,0.2123,0.61279
Market + Recent form,2022,269,67.29,72.11,0.21103,0.61009
Market + Recent form + Rest,2022,269,66.54,72.3,0.21094,0.60993
Market + Rest,2022,269,66.91,72.16,0.2115,0.61111
Market baseline,2022,269,65.43,71.97,0.21082,0.60855
Recent form,2022,269,58.36,59.91,0.24246,0.67768
Recent form + Rest,2022,269,58.36,59.86,0.24242,0.67759
Rest,2022,269,56.13,57.17,0.24693,0.687
ELO,2023,272,61.76,64.67,0.23507,0.66367
ELO + Recent form,2023,272,59.56,64.62,0.23461,0.66205
ELO + Recent form + Rest,2023,272,60.29,65.03,0.23392,0.66055
ELO + Rest,2023,272,61.4,64.8,0.23428,0.66194
Market,2023,272,68.38,69.62,0.21873,0.62794
Market + ELO,2023,272,68.38,69.53,0.21897,0.62845
Market + ELO + Recent form,2023,272,68.38,69.21,0.21866,0.6279
Market + ELO + Recent form + Rest,2023,272,68.38,68.98,0.21932,0.62952
Market + ELO + Rest,2023,272,69.12,69.39,0.21958,0.62994
Market + Recent form,2023,272,68.01,69.3,0.2184,0.62733
Market + Recent form + Rest,2023,272,68.38,69.3,0.21912,0.6291
Market + Rest,2023,272,68.38,69.39,0.2194,0.62956
Market baseline,2023,272,67.65,69.89,0.21871,0.62735
Recent form,2023,272,58.82,61.85,0.23906,0.67193
Recent form + Rest,2023,272,57.72,61.99,0.23862,0.67103
Rest,2023,272,55.51,55.22,0.24675,0.68664
ELO,2024,272,68.38,72.07,0.21365,0.6172
ELO + Recent form,2024,272,69.85,72.43,0.21409,0.61857
ELO + Recent form + Rest,2024,272,69.12,72.71,0.21466,0.61942
ELO + Rest,2024,272,67.65,71.84,0.21441,0.61845
Market,2024,272,71.32,76.29,0.19873,0.58497
Market + ELO,2024,272,70.96,76.07,0.19899,0.58556
Market + ELO + Recent form,2024,272,70.59,76.25,0.19827,0.58403
Market + ELO + Recent form + Rest,2024,272,70.59,76.29,0.19857,0.58459
Market + ELO + Rest,2024,272,70.59,76.16,0.19929,0.58611
Market + Recent form,2024,272,70.59,76.29,0.19808,0.5836
Market + Recent form + Rest,2024,272,70.59,76.34,0.19843,0.58426
Market + Rest,2024,272,70.59,76.25,0.19908,0.58564
Market baseline,2024,272,71.69,76.2,0.20016,0.58749
Recent form,2024,272,61.76,66.44,0.2335,0.65982
Recent form + Rest,2024,272,62.87,66.71,0.23369,0.66023
Rest,2024,272,53.31,53.54,0.24933,0.69184
ELO,2025,271,64.21,67.95,0.22735,0.64676
ELO + Recent form,2025,271,64.94,69.78,0.22085,0.63188
ELO + Recent form + Rest,2025,271,65.31,69.73,0.22126,0.63252
ELO + Rest,2025,271,63.84,67.67,0.22767,0.64732
Market,2025,271,65.68,72.21,0.2135,0.61345
Market + ELO,2025,271,66.05,72.12,0.2138,0.61417
Market + ELO + Recent form,2025,271,64.94,71.75,0.21563,0.61834
Market + ELO + Recent form + Rest,2025,271,64.94,71.75,0.21565,0.61839
Market + ELO + Rest,2025,271,66.05,72.12,0.21385,0.61429
Market + Recent form,2025,271,64.58,71.89,0.21518,0.61727
Market + Recent form + Rest,2025,271,64.58,71.89,0.21518,0.61728
Market + Rest,2025,271,65.68,72.21,0.21353,0.61352
Market baseline,2025,271,65.31,72.02,0.21214,0.60938
Recent form,2025,271,61.62,68.22,0.2231,0.63653
Recent form + Rest,2025,271,61.62,68.13,0.22319,0.63664
Rest,2025,271,53.87,53.21,0.24835,0.68985
