model,season,week,games,correct_picks,points,max_points,accuracy,confidence_points,brier_score,log_loss
ELO,2021,1,16,9,80,136,56.25,58.82,0.24351,0.67933
ELO + Recent form,2021,1,16,9,81,136,56.25,59.56,0.24377,0.67987
ELO + Recent form + Rest,2021,1,16,9,81,136,56.25,59.56,0.2438,0.67992
ELO + Rest,2021,1,16,9,80,136,56.25,58.82,0.24353,0.67936
Market,2021,1,16,7,74,136,43.75,54.41,0.26347,0.71603
Market + ELO,2021,1,16,7,74,136,43.75,54.41,0.26141,0.7115
Market + ELO + Recent form,2021,1,16,7,74,136,43.75,54.41,0.26002,0.70887
Market + ELO + Recent form + Rest,2021,1,16,7,74,136,43.75,54.41,0.26014,0.70912
Market + ELO + Rest,2021,1,16,7,74,136,43.75,54.41,0.26149,0.71166
Market + Recent form,2021,1,16,7,74,136,43.75,54.41,0.26185,0.71289
Market + Recent form + Rest,2021,1,16,7,74,136,43.75,54.41,0.26191,0.71302
Market + Rest,2021,1,16,7,74,136,43.75,54.41,0.26347,0.71603
Market baseline,2021,1,16,7,76,136,43.75,55.88,0.2572,0.70262
Recent form,2021,1,16,8,72,136,50.0,52.94,0.25213,0.69742
Recent form + Rest,2021,1,16,8,72,136,50.0,52.94,0.25214,0.69744
Rest,2021,1,16,8,72,136,50.0,52.94,0.25152,0.6962
ELO,2021,2,16,10,86,136,62.5,63.24,0.24021,0.67319
ELO + Recent form,2021,2,16,7,68,136,43.75,50.0,0.28929,0.79197
ELO + Recent form + Rest,2021,2,16,7,68,136,43.75,50.0,0.2892,0.79177
ELO + Rest,2021,2,16,10,85,136,62.5,62.5,0.24011,0.67295
Market,2021,2,16,11,102,136,68.75,75.0,0.20042,0.58291
Market + ELO,2021,2,16,11,102,136,68.75,75.0,0.20275,0.58807
Market + ELO + Recent form,2021,2,16,11,99,136,68.75,72.79,0.20878,0.60221
Market + ELO + Recent form + Rest,2021,2,16,11,100,136,68.75,73.53,0.20866,0.60194
Market + ELO + Rest,2021,2,16,11,103,136,68.75,75.74,0.2029,0.58843
Market + Recent form,2021,2,16,11,101,136,68.75,74.26,0.20724,0.5987
Market + Recent form + Rest,2021,2,16,11,101,136,68.75,74.26,0.20717,0.59854
Market + Rest,2021,2,16,11,103,136,68.75,75.74,0.20069,0.58353
Market baseline,2021,2,16,11,101,136,68.75,74.26,0.2008,0.58305
Recent form,2021,2,16,6,61,136,37.5,44.85,0.34911,0.92944
Recent form + Rest,2021,2,16,6,61,136,37.5,44.85,0.34909,0.92941
Rest,2021,2,16,8,60,136,50.0,44.12,0.25187,0.69689
ELO,2021,3,16,11,93,136,68.75,68.38,0.22536,0.6472
ELO + Recent form,2021,3,16,10,93,136,62.5,68.38,0.22312,0.63172
ELO + Recent form + Rest,2021,3,16,10,93,136,62.5,68.38,0.22357,0.63273
ELO + Rest,2021,3,16,11,93,136,68.75,68.38,0.22557,0.64766
Market,2021,3,16,9,105,136,56.25,77.21,0.19473,0.56813
Market + ELO,2021,3,16,9,105,136,56.25,77.21,0.19507,0.56944
Market + ELO + Recent form,2021,3,16,9,105,136,56.25,77.21,0.19633,0.57133
Market + ELO + Recent form + Rest,2021,3,16,9,105,136,56.25,77.21,0.19532,0.56913
Market + ELO + Rest,2021,3,16,9,105,136,56.25,77.21,0.19405,0.5672
Market + Recent form,2021,3,16,9,104,136,56.25,76.47,0.19613,0.57038
Market + Recent form + Rest,2021,3,16,9,104,136,56.25,76.47,0.195,0.56794
Market + Rest,2021,3,16,9,105,136,56.25,77.21,0.19359,0.56567
Market baseline,2021,3,16,9,105,136,56.25,77.21,0.19483,0.56975
Recent form,2021,3,16,9,86,136,56.25,63.24,0.23376,0.65636
Recent form + Rest,2021,3,16,9,86,136,56.25,63.24,0.23394,0.65682
Rest,2021,3,16,8,89,136,50.0,65.44,0.25101,0.69517
ELO,2021,4,16,8,80,136,50.0,58.82,0.25215,0.70764
ELO + Recent form,2021,4,16,8,74,136,50.0,54.41,0.26262,0.7309
ELO + Recent form + Rest,2021,4,16,8,73,136,50.0,53.68,0.263,0.73177
ELO + Rest,2021,4,16,8,80,136,50.0,58.82,0.25237,0.70812
Market,2021,4,16,10,95,136,62.5,69.85,0.22219,0.63133
Market + ELO,2021,4,16,11,94,136,68.75,69.12,0.22389,0.63681
Market + ELO + Recent form,2021,4,16,10,92,136,62.5,67.65,0.22634,0.64243
Market + ELO + Recent form + Rest,2021,4,16,10,93,136,62.5,68.38,0.22563,0.6407
Market + ELO + Rest,2021,4,16,11,94,136,68.75,69.12,0.22324,0.63521
Market + Recent form,2021,4,16,10,93,136,62.5,68.38,0.22504,0.63784
Market + Recent form + Rest,2021,4,16,10,94,136,62.5,69.12,0.2243,0.63611
Market + Rest,2021,4,16,10,95,136,62.5,69.85,0.22155,0.62982
Market baseline,2021,4,16,9,92,136,56.25,67.65,0.22432,0.63369
Recent form,2021,4,16,8,62,136,50.0,45.59,0.27895,0.75545
Recent form + Rest,2021,4,16,8,62,136,50.0,45.59,0.27911,0.75581
Rest,2021,4,16,7,66,136,43.75,48.53,0.25594,0.70504
ELO,2021,5,16,12,117,136,75.0,86.03,0.17684,0.53777
ELO + Recent form,2021,5,16,13,116,136,81.25,85.29,0.17505,0.53471
ELO + Recent form + Rest,2021,5,16,13,116,136,81.25,85.29,0.17529,0.53525
ELO + Rest,2021,5,16,12,117,136,75.0,86.03,0.17692,0.538
Market,2021,5,16,12,116,136,75.0,85.29,0.17407,0.52835
Market + ELO,2021,5,16,12,118,136,75.0,86.76,0.17021,0.52027
Market + ELO + Recent form,2021,5,16,12,118,136,75.0,86.76,0.17092,0.52162
Market + ELO + Recent form + Rest,2021,5,16,12,119,136,75.0,87.5,0.17031,0.52036
Market + ELO + Rest,2021,5,16,12,118,136,75.0,86.76,0.16961,0.51901
Market + Recent form,2021,5,16,12,116,136,75.0,85.29,0.17476,0.52966
Market + Recent form + Rest,2021,5,16,12,116,136,75.0,85.29,0.17386,0.52784
Market + Rest,2021,5,16,12,117,136,75.0,86.03,0.17316,0.5265
Market baseline,2021,5,16,12,112,136,75.0,82.35,0.17898,0.53887
Recent form,2021,5,16,11,96,136,68.75,70.59,0.21893,0.62812
Recent form + Rest,2021,5,16,11,96,136,68.75,70.59,0.21913,0.62852
Rest,2021,5,16,8,80,136,50.0,58.82,0.25098,0.69511
ELO,2021,6,14,10,76,105,71.43,72.38,0.20924,0.60805
ELO + Recent form,2021,6,14,9,76,105,64.29,72.38,0.21205,0.614
ELO + Recent form + Rest,2021,6,14,9,76,105,64.29,72.38,0.21236,0.61458
ELO + Rest,2021,6,14,9,75,105,64.29,71.43,0.2094,0.60835
Market,2021,6,14,10,87,105,71.43,82.86,0.18227,0.54803
Market + ELO,2021,6,14,10,87,105,71.43,82.86,0.18189,0.54658
Market + ELO + Recent form,2021,6,14,10,87,105,71.43,82.86,0.1833,0.55028
Market + ELO + Recent form + Rest,2021,6,14,10,87,105,71.43,82.86,0.18278,0.54921
Market + ELO + Rest,2021,6,14,10,87,105,71.43,82.86,0.18141,0.54562
Market + Recent form,2021,6,14,10,85,105,71.43,80.95,0.18383,0.55213
Market + Recent form + Rest,2021,6,14,10,86,105,71.43,81.9,0.18326,0.5509
Market + Rest,2021,6,14,10,87,105,71.43,82.86,0.18174,0.54693
Market baseline,2021,6,14,10,84,105,71.43,80.0,0.18753,0.56048
Recent form,2021,6,14,10,67,105,71.43,63.81,0.24329,0.68239
Recent form + Rest,2021,6,14,10,67,105,71.43,63.81,0.2434,0.6826
Rest,2021,6,14,5,49,105,35.71,46.67,0.26253,0.71826
ELO,2021,7,13,9,69,91,69.23,75.82,0.19952,0.58841
ELO + Recent form,2021,7,13,10,75,91,76.92,82.42,0.17604,0.5298
ELO + Recent form + Rest,2021,7,13,10,76,91,76.92,83.52,0.1758,0.52942
ELO + Rest,2021,7,13,9,69,91,69.23,75.82,0.19931,0.58807
Market,2021,7,13,8,68,91,61.54,74.73,0.20745,0.58967
Market + ELO,2021,7,13,9,68,91,69.23,74.73,0.20594,0.58691
Market + ELO + Recent form,2021,7,13,9,68,91,69.23,74.73,0.20282,0.57943
Market + ELO + Recent form + Rest,2021,7,13,9,68,91,69.23,74.73,0.20214,0.57811
Market + ELO + Rest,2021,7,13,9,68,91,69.23,74.73,0.20507,0.58513
Market + Recent form,2021,7,13,9,69,91,69.23,75.82,0.20392,0.58127
Market + Recent form + Rest,2021,7,13,9,68,91,69.23,74.73,0.20301,0.57952
Market + Rest,2021,7,13,8,67,91,61.54,73.63,0.20629,0.58732
Market baseline,2021,7,13,9,68,91,69.23,74.73,0.19937,0.56738
Recent form,2021,7,13,11,80,91,84.62,87.91,0.16632,0.5125
