points_rank,model,weeks,points_difference,points_ci_low,points_ci_high,probability_points_better,accuracy_difference,accuracy_ci_low,accuracy_ci_high,probability_accuracy_better
1,Market,90,0.128,-0.139,0.394,81.4,0.517,-0.147,1.183,92.9
2,Market + Rest,90,0.046,-0.256,0.35,60.4,0.295,-0.371,0.963,76.6
3,Market + ELO,90,0.037,-0.327,0.407,56.5,0.517,-0.147,1.244,92.5
4,Market + ELO + Rest,90,0.009,-0.367,0.395,49.6,0.59,-0.074,1.323,94.5
5,Market + Recent form + Rest,90,-0.055,-0.426,0.324,36.7,0.074,-0.735,0.88,53.0
6,Market + Recent form,90,-0.073,-0.408,0.264,32.2,0.148,-0.524,0.883,61.7
7,Market + ELO + Recent form,90,-0.11,-0.531,0.335,30.0,0.148,-0.582,0.881,61.5
8,Market + ELO + Recent form + Rest,90,-0.165,-0.607,0.286,22.7,-0.074,-0.885,0.738,39.0
9,ELO + Recent form + Rest,90,-4.557,-6.319,-2.791,0.0,-2.435,-4.629,-0.297,1.1
10,ELO + Recent form,90,-4.584,-6.483,-2.716,0.0,-2.509,-4.839,-0.292,1.1
11,ELO,90,-4.84,-6.839,-2.834,0.0,-2.509,-5.015,-0.147,1.7
12,ELO + Rest,90,-4.959,-6.845,-3.076,0.0,-2.878,-5.386,-0.446,0.8
13,Recent form + Rest,90,-8.427,-10.591,-6.268,0.0,-6.642,-9.03,-4.222,0.0
14,Recent form,90,-8.509,-10.728,-6.257,0.0,-6.642,-9.098,-4.194,0.0
15,Rest,90,-17.522,-20.901,-14.117,0.0,-12.399,-15.362,-9.548,0.0
