pick_id,season,week_number,week,weight,pick,opponent,probability,status,winner,result,points
2026-01-ARI-LAC,2026,1,2026 Week 1,14,LAC,ARI,80.0,Settled,ARI,Loss,0
2026-01-CLE-JAX,2026,1,2026 Week 1,13,JAX,CLE,78.67,Settled,JAX,Win,13
2026-01-DET-NO,2026,1,2026 Week 1,12,DET,NO,74.09,Settled,DET,Win,12
2026-01-ATL-PIT,2026,1,2026 Week 1,11,PIT,ATL,69.58,Settled,PIT,Win,11
2026-01-PHI-WAS,2026,1,2026 Week 1,10,PHI,WAS,68.54,Settled,PHI,Win,10
2026-01-CIN-TB,2026,1,2026 Week 1,9,CIN,TB,64.47,Settled,CIN,Win,9
2026-01-BAL-IND,2026,1,2026 Week 1,8,BAL,IND,60.92,Settled,BAL,Win,8
2026-01-LV-MIA,2026,1,2026 Week 1,7,LV,MIA,60.38,Settled,LV,Win,7
2026-01-CAR-CHI,2026,1,2026 Week 1,6,CHI,CAR,59.96,Settled,CHI,Win,6
2026-01-DAL-NYG,2026,1,2026 Week 1,5,DAL,NYG,59.34,Settled,NYG,Loss,0
2026-01-DEN-KC,2026,1,2026 Week 1,4,KC,DEN,57.21,Settled,KC,Win,4
2026-01-GB-MIN,2026,1,2026 Week 1,3,MIN,GB,53.25,Settled,MIN,Win,3
2026-01-NYJ-TEN,2026,1,2026 Week 1,2,TEN,NYJ,52.61,Settled,NYJ,Loss,0
2026-01-BUF-HOU,2026,1,2026 Week 1,1,BUF,HOU,51.74,Settled,BUF,Win,1
